[19-02-2019 16:32:08] - SN:ZABRBA19080030N;ZABRBA19080030P, MODELO:TG1692BR-SMT
[19-02-2019 16:33:04] - SN:ZABRBA19080030Q;ZABRBA19080030R, MODELO:TG1692BR-SMT
[19-02-2019 16:33:36] - SN:ZABRBA19080030S;ZABRBA19080030T, MODELO:TG1692BR-SMT
[19-02-2019 16:34:31] - SN:ZABRBA19080030U;ZABRBA19080030V, MODELO:TG1692BR-SMT
[19-02-2019 16:34:48] - SN:ZABRBA19080030W;ZABRBA19080030X, MODELO:TG1692BR-SMT
[19-02-2019 16:35:13] - SN:ZABRBA19080030Y;ZABRBA19080030Z, MODELO:TG1692BR-SMT
[19-02-2019 16:35:33] - SN:ZABRBA190800310;ZABRBA190800311, MODELO:TG1692BR-SMT
[19-02-2019 16:35:47] - SN:ZABRBA190800312;ZABRBA190800313, MODELO:TG1692BR-SMT
[19-02-2019 16:36:02] - SN:ZABRBA190800314;ZABRBA190800315, MODELO:TG1692BR-SMT
[19-02-2019 16:37:05] - SN:ZABRBA190800316;ZABRBA190800317, MODELO:TG1692BR-SMT
[19-02-2019 16:38:16] - SN:ZABRBA190800318;ZABRBA190800319, MODELO:TG1692BR-SMT
[19-02-2019 16:38:43] - SN:ZABRBA19080031A;ZABRBA19080031B, MODELO:TG1692BR-SMT
[19-02-2019 16:39:06] - SN:ZABRBA19080031C;ZABRBA19080031D, MODELO:TG1692BR-SMT
[19-02-2019 16:39:30] - SN:ZABRBA19080031E;ZABRBA19080031F, MODELO:TG1692BR-SMT
[19-02-2019 16:40:06] - SN:ZABRBA19080031G;ZABRBA19080031H, MODELO:TG1692BR-SMT
[19-02-2019 16:40:19] - SN:ZABRBA19080031J;ZABRBA19080031K, MODELO:TG1692BR-SMT
[19-02-2019 16:40:37] - SN:ZABRBA19080031L;ZABRBA19080031M, MODELO:TG1692BR-SMT
[19-02-2019 16:41:20] - SN:ZABRBA19080031N;ZABRBA19080031P, MODELO:TG1692BR-SMT
[19-02-2019 16:41:40] - SN:ZABRBA19080031Q;ZABRBA19080031R, MODELO:TG1692BR-SMT
[19-02-2019 16:41:57] - SN:ZABRBA19080031S;ZABRBA19080031T, MODELO:TG1692BR-SMT
[19-02-2019 16:42:13] - SN:ZABRBA19080031U;ZABRBA19080031V, MODELO:TG1692BR-SMT
[19-02-2019 16:42:44] - SN:ZABRBA19080031W;ZABRBA19080031X, MODELO:TG1692BR-SMT
[19-02-2019 16:43:14] - SN:ZABRBA19080031Y;ZABRBA19080031Z, MODELO:TG1692BR-SMT
[19-02-2019 16:56:06] - SN:ZABRBA190800320;ZABRBA190800321, MODELO:TG1692BR-SMT
[19-02-2019 16:56:38] - SN:ZABRBA190800322;ZABRBA190800323, MODELO:TG1692BR-SMT
[19-02-2019 16:57:00] - SN:ZABRBA190800324;ZABRBA190800325, MODELO:TG1692BR-SMT
[19-02-2019 16:57:43] - SN:ZABRBA190800326;ZABRBA190800327, MODELO:TG1692BR-SMT
[19-02-2019 16:58:04] - SN:ZABRBA190800328;ZABRBA190800329, MODELO:TG1692BR-SMT
[19-02-2019 16:58:35] - SN:ZABRBA19080032A;ZABRBA19080032B, MODELO:TG1692BR-SMT
[19-02-2019 18:05:56] - SN:92K2B2576500001, MODELO:TG1692BR
[19-02-2019 18:06:53] - SN:92K2B2576500002, MODELO:TG1692BR
[19-02-2019 18:07:41] - SN:92K2B2576500003, MODELO:TG1692BR
[19-02-2019 18:08:04] - SN:92K2B2576500004, MODELO:TG1692BR
[19-02-2019 18:08:33] - SN:92K2B2576500005, MODELO:TG1692BR
[19-02-2019 18:09:00] - SN:92K2B2576500006, MODELO:TG1692BR
[19-02-2019 18:09:14] - SN:92K2B2576500007, MODELO:TG1692BR
[19-02-2019 18:09:40] - SN:92K2B2576500008, MODELO:TG1692BR
[19-02-2019 18:10:14] - SN:92K2B2576500009, MODELO:TG1692BR
[19-02-2019 18:10:25] - SN:92K2B2576500010, MODELO:TG1692BR
[19-02-2019 18:12:07] - SN:92K2B2576500011, MODELO:TG1692BR
[19-02-2019 18:12:30] - SN:92K2B2576500012, MODELO:TG1692BR
[19-02-2019 18:12:31] - SN:92K2B2576500013, MODELO:TG1692BR
[19-02-2019 18:12:32] - SN:92K2B2576500014, MODELO:TG1692BR
[19-02-2019 18:36:36] - SN:92K2B2576500019, MODELO:TG1692BR
